epoch,acc,loss,val_acc,val_loss
0,0.7456475496292114,0.49007290601730347,0.7432950139045715,0.4217178523540497
1,0.7804670929908752,0.37336310744285583,0.7452107071876526,0.45902130007743835
2,0.865180492401123,0.3012266457080841,0.8218390941619873,0.3768770694732666
3,0.8908705115318298,0.26158177852630615,0.9406130313873291,0.1779753416776657
4,0.909554123878479,0.21524925529956818,0.954023003578186,0.12072460353374481
5,0.9152866005897522,0.21010468900203705,0.961685836315155,0.13058890402317047
6,0.9244161248207092,0.18976746499538422,0.9578543901443481,0.11139878630638123
7,0.9208067655563354,0.19034522771835327,0.9482758641242981,0.13027289509773254
8,0.9295116662979126,0.17902524769306183,0.9482758641242981,0.1410091370344162
9,0.9316348433494568,0.17646393179893494,0.7796934843063354,0.8506402969360352
10,0.934394896030426,0.16026441752910614,0.9501915574073792,0.13644598424434662
11,0.9341825842857361,0.16060498356819153,0.9655172228813171,0.10291864722967148
12,0.9363057613372803,0.16355200111865997,0.969348669052124,0.09643275290727615
13,0.9390658140182495,0.16242685914039612,0.969348669052124,0.09449318796396255
14,0.9414013028144836,0.1426885575056076,0.967432975769043,0.09860315173864365
15,0.9341825842857361,0.1542312502861023,0.9636015295982361,0.10220624506473541
16,0.9460721611976624,0.13645164668560028,0.9578543901443481,0.10590984672307968
17,0.9443736672401428,0.13898973166942596,0.8639847040176392,0.3509562611579895
18,0.9462844729423523,0.13907872140407562,0.8946360349655151,0.2594001293182373
19,0.9422505497932434,0.1429840475320816,0.975095808506012,0.08354990929365158
