epoch,acc,loss,lr,val_acc,val_loss
0,0.7337579727172852,0.5093920826911926,0.01,0.7432950139045715,0.5939380526542664
1,0.7420381903648376,0.3754790127277374,0.01,0.7432950139045715,0.3869072496891022
2,0.8343949317932129,0.3134182393550873,0.01,0.7892720103263855,0.5611489415168762
3,0.8832271695137024,0.2718949615955353,0.01,0.8563218116760254,0.34258833527565
4,0.8951167464256287,0.251713365316391,0.01,0.8678160905838013,0.3680713176727295
5,0.9093418121337891,0.2379608303308487,0.01,0.9578543901443481,0.21900813281536102
6,0.92165607213974,0.21793876588344574,0.01,0.9444444179534912,0.20299479365348816
7,0.9305732250213623,0.1956890970468521,0.01,0.9176245331764221,0.23294296860694885
8,0.9301486015319824,0.1962292641401291,0.01,0.7567049860954285,1.0827451944351196
9,0.9299362897872925,0.195755735039711,0.01,0.9118773937225342,0.2334754467010498
10,0.9235668778419495,0.20003050565719604,0.01,0.967432975769043,0.1647624522447586
11,0.9322717785835266,0.18458683788776398,0.01,0.8869732022285461,0.28258344531059265
12,0.9352441430091858,0.17589005827903748,0.01,0.9482758641242981,0.1622927337884903
13,0.9354564547538757,0.17599134147167206,0.01,0.9176245331764221,0.1893421858549118
14,0.9414013028144836,0.16395731270313263,0.01,0.37547892332077026,0.8168814778327942
15,0.918895959854126,0.18932674825191498,0.01,0.9559386968612671,0.17698323726654053
16,0.9341825842857361,0.16713985800743103,0.01,0.9501915574073792,0.15189364552497864
17,0.9307855367660522,0.17414943873882294,0.01,0.7911877632141113,0.6124813556671143
18,0.9350318312644958,0.15875260531902313,0.01,0.8199234008789062,0.5846825242042542
19,0.9388535022735596,0.16542202234268188,0.01,0.946360170841217,0.15953290462493896
20,0.9458598494529724,0.149916872382164,0.01,0.9731800556182861,0.15102222561836243
21,0.9460721611976624,0.14781419932842255,0.01,0.954023003578186,0.1748872548341751
22,0.9424628615379333,0.15218135714530945,0.01,0.8754789233207703,0.30140045285224915
23,0.9462844729423523,0.1460508108139038,0.01,0.975095808506012,0.10838519781827927
24,0.9484076499938965,0.13517671823501587,0.01,0.9731800556182861,0.10348232090473175
25,0.9475584030151367,0.1467556357383728,0.01,0.975095808506012,0.10283064842224121
26,0.950318455696106,0.13944771885871887,0.01,0.959770143032074,0.11712495982646942
27,0.950318455696106,0.13868549466133118,0.01,0.8256704807281494,0.3391539454460144
28,0.9452229142189026,0.14145882427692413,0.01,0.9789271950721741,0.10177034884691238
29,0.9486199617385864,0.13153031468391418,0.01,0.9731800556182861,0.0969567820429802
30,0.9522293210029602,0.12857162952423096,0.01,0.967432975769043,0.10789947956800461
31,0.9496815204620361,0.1348552256822586,0.01,0.977011501789093,0.08904742449522018
32,0.9496815204620361,0.12777984142303467,0.01,0.9559386968612671,0.14957195520401
33,0.95286625623703,0.12565025687217712,0.01,0.9578543901443481,0.10996925085783005
34,0.9456475377082825,0.12906992435455322,0.01,0.9099617004394531,0.21666200459003448
35,0.9537155032157898,0.13051225244998932,0.01,0.9636015295982361,0.10849986970424652
36,0.9532908797264099,0.12400031834840775,0.01,0.9655172228813171,0.09518686681985855
37,0.9626327157020569,0.10472863912582397,0.0019999999,0.959770143032074,0.11420226097106934
38,0.9641188979148865,0.10237859934568405,0.0019999999,0.9636015295982361,0.09990313649177551
39,0.9649681448936462,0.10102260112762451,0.0019999999,0.959770143032074,0.11978033185005188
40,0.9645435214042664,0.10030698031187057,0.0019999999,0.9789271950721741,0.08719190955162048
41,0.9666666388511658,0.09901910275220871,0.0019999999,0.977011501789093,0.08478463441133499
42,0.9653927683830261,0.09954936057329178,0.0019999999,0.9712643623352051,0.0917043387889862
43,0.9668790102005005,0.09788757562637329,0.0019999999,0.969348669052124,0.09006883949041367
44,0.9656050801277161,0.0979822501540184,0.0019999999,0.967432975769043,0.09596266597509384
45,0.9679405689239502,0.09683549404144287,0.0019999999,0.961685836315155,0.11192092299461365
46,0.9666666388511658,0.09685064852237701,0.0019999999,0.977011501789093,0.08840697258710861
47,0.9692144393920898,0.09407403320074081,0.00039999996,0.977011501789093,0.08861669898033142
48,0.9696390628814697,0.09397473931312561,0.00039999996,0.9789271950721741,0.08935794234275818
49,0.9692144393920898,0.09357263147830963,0.00039999996,0.9789271950721741,0.09015335887670517
50,0.9694267511367798,0.09342401474714279,0.00039999996,0.9712643623352051,0.09416413307189941
51,0.96878981590271,0.09335296601057053,0.00039999996,0.9731800556182861,0.09199969470500946
52,0.96878981590271,0.09262692183256149,7.999999e-05,0.9789271950721741,0.0895959660410881
53,0.9694267511367798,0.0924852192401886,7.999999e-05,0.977011501789093,0.08798132091760635
54,0.9698513746261597,0.09246803820133209,7.999999e-05,0.9808428883552551,0.08899718523025513
55,0.9698513746261597,0.09243383258581161,7.999999e-05,0.977011501789093,0.08778105676174164
56,0.9698513746261597,0.09233252704143524,7.999999e-05,0.977011501789093,0.08741933852434158
57,0.9700636863708496,0.09216795861721039,1.5999998e-05,0.977011501789093,0.08736671507358551
58,0.9700636863708496,0.09216325730085373,1.5999998e-05,0.977011501789093,0.08740696310997009
59,0.9704883098602295,0.09215926378965378,1.5999998e-05,0.977011501789093,0.08744659274816513
